Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Township of Langley-017,Township of Langley,British Columbia,Ensure major corporate facility renovations are zero carbon in operation - Develop and implement a green buildings policy for the renovation of existing Township-owned facilities,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Township of Langley-018,Township of Langley,British Columbia,Construct new corporate facilities to be zero carbon in operation - Develop and implement a green buildings policy for the construction of new Township-owned facilities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Township of Langley-019,Township of Langley,British Columbia,Evaluate the feasibility of installing controls on heating systems in Township-owned utility stations  ,Public Investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,No,Planned,,,,,,,,,
ID-Township of Langley-020,Township of Langley,British Columbia,"Develop a new neighbourhood centre to model resilient, low carbon design - Showcase sustainable community design with zero emission buildings, renewable energy systems, and livable public spaces  ",Public Investment,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned,,,,,,,,,
ID-Township of Selwyn-001,Township of Selwyn,Ontario,Establish a Green New Building Policy to require new municipal buildings and major renovations be built to high environmental standards ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-002,Township of Selwyn,Ontario,Establish a policy to consider highest energy efficiency as part of procurement requirements and evaluation   ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-003,Township of Selwyn,Ontario,Explore installation of building automation systems to optimize building operations were feasible  ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-004,Township of Selwyn,Ontario,Formalize and continue to deliver an equipment preventative maintenance program on an ongoing basis ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-005,Township of Selwyn,Ontario,Implement an interior and exterior LED lighting retrofit program in all facilities where feasible  ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-006,Township of Selwyn,Ontario,Implement employee training for energy efficiency,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-007,Township of Selwyn,Ontario,Implement staff behaviour change programs to reduce usage of electricity and heating in day-to-day activities ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-008,Township of Selwyn,Ontario,Install geothermal heating and cooling systems for new buildings and major renovations if feasible,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-009,Township of Selwyn,Ontario,Integrated energy audits/assessments of each facility into the annual Building Condition Assessment process to identify opportunities to improve energy efficiency ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-010,Township of Selwyn,Ontario,Develop and implement a comprehensive multi-year deep energy retrofit program focused on existing households to achieve efficiency gains of at least 30% to 50% depending on the age and type of building. ,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-011,Township of Selwyn,Ontario,Implement gradual improvement in new building stock efficiency aimed at achieving near net-zero or equivalent (0.14 to 0.24 GJ/m2) in all new buildings by 2031. ,Action under consideration by municipality - not enough information to code.,,,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-012,Township of Selwyn,Ontario,"Work with utilities (PDI, Hydro One, Enbridge as appropriate) to deliver a coordinated deep energy retrofit program to industrial, commercial, and institutional organizations. ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-013,Township of Selwyn,Ontario,Encourage local businesses to participate in energy benchmarking through the use of Energy Star Portfolio Manager provided through Natural Resources Canada,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-014,Township of Selwyn,Ontario,Work with the Building Owners and Managers Association (BOMA) to expand their Operator Training program to the Greater Peterborough Area (County and City partnership) ,Price Signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-015,Township of Selwyn,Ontario,"Implement gradual improvement in efficiency of industrial, commercial, and institutional buildings. ",Action under consideration by municipality - not enough information to code.,,,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-016,Township of Selwyn,Ontario,"Conduct a regional study to explore the potential to implement local renewable energy generation and storage (institutional, commercial, industrial, and residential). ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,No,Planned,,,,,,,,,
ID-Township of Selwyn-017,Township of Selwyn,Ontario,Replace appliances with Energy STAR rated appliances as needed ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-018,Township of Selwyn,Ontario,Replace mechanical equipment with high efficiency according to replacement schedule/need ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
ID-Township of Selwyn-019,Township of Selwyn,Ontario,Replace windows and doors with high efficiency according to replacement schedule/need ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Ongoing,,,,,,,,,
